#TYPE System.Management.PropertyData
"Name","Value","Type","IsLocal","IsArray","Origin","Qualifiers"
"SmtpEventlogLevel","-1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpHeloNoDomain","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpHeloTimeout","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpInboundCommandSupportOptions","7697601","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpIpRestrictionFlag","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpLocalDelayExpireMinutes","720","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpLocalNDRExpireMinutes","2880","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpMailFromTimeout","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpMailNoHelo","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpMaxRemoteQThreads","-1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpOutboundCommandSupportOptions","7","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpRcptToTimeout","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpRemoteDelayExpireMinutes","720","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpRemoteNDRExpireMinutes","2880","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpRemoteProgressiveRetry","15,30,60,240","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpRemoteRetryThreshold","3","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpRsetTimeout","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpSaslTimeout","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpSSLCertHostnameValidation","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpSSLRequireTrustedCA","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpTurnTimeout","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpUseTcpDns","-1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"UpdatedDefaultDomain","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"UpdatedFQDN","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"Win32Error","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
